X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50
0.1567	2.3916	0.2866	0.9605	-1.2454	-2.3316	-2.9015	1.9115	1.8559	-0.0378	2.7807	-4.1553	-1.0234	-0.3287	-2.2327	-2.6314	0.7814	8.2973	3.7184	-0.5783	0.2589	-2.1028	-1.6150	-4.2047	-1.2357	-2.3236	-1.3360	-0.7963	-3.9537	-2.6911	3.6742	-12.5667	8.6017	2.5458	10.7600	9.7911	-0.4462	-1.7407	-4.5479	5.1652	11.3324	-2.6382	4.2310	9.1984	-5.7478	2.8587	14.0141	-15.2200	5.6433	-6.8989
1.0736	1.5306	-0.8158	-0.3197	-1.1882	0.0407	0.9789	0.1995	-0.3970	1.3058	-3.0861	4.5435	4.4048	-2.1201	-0.0554	1.3867	-2.8418	-1.2910	5.3175	5.8623	-1.5030	-3.1618	6.4812	0.3557	-1.4903	1.0382	2.8418	3.6748	5.3961	13.5243	-1.2588	2.9615	-3.4839	-12.1596	-6.6932	0.7522	-5.5291	-3.3556	2.9431	4.6513	3.2636	-1.8835	-8.5660	1.2812	-2.6599	1.1662	-8.2378	2.0666	-5.5228	0.0474
2.1447	1.7430	0.2488	1.3275	1.3081	0.0400	-0.1023	0.6504	1.3823	-0.4907	1.7817	-2.5879	-3.7569	0.1805	2.2099	-0.7844	3.2902	4.3043	-4.8791	-4.2830	-1.8826	0.3269	-5.4962	0.4348	-0.3160	3.3177	-2.2957	-2.4529	-2.9854	-5.7636	8.0898	-1.6464	6.7566	4.4366	10.8614	2.4943	3.2341	6.3512	-5.1891	-8.9821	-9.1539	8.1939	6.8666	-9.3613	6.5911	3.8432	5.3800	1.0050	-0.1963	-4.6393
-3.9889	-0.5042	-0.5658	0.1325	0.9899	0.3481	-0.0300	-0.5066	1.1837	-1.4427	0.6627	-0.4260	-1.1588	2.4615	0.3549	-0.5734	0.1620	-4.8588	-3.8122	-1.3744	5.0116	-1.6588	-2.9280	0.6672	0.4391	0.5467	-0.2248	-1.0704	0.1298	-1.6849	1.4050	3.9312	8.7052	0.2207	12.9539	6.7153	-3.5977	3.8877	-6.7839	-4.2757	-3.4511	-3.9344	-0.9815	-8.4771	2.9832	-6.5900	6.5703	-20.7237	-0.6529	-11.1897
-0.5504	-1.2136	1.3642	2.3952	-1.9811	-0.4841	-0.6604	-1.4026	-0.4167	-2.0130	0.6305	-2.9464	3.2694	-0.9551	-1.3522	-1.9563	1.5183	-0.0014	5.4763	5.1180	-0.5892	-1.2910	-2.1131	-0.3909	-0.9246	0.6711	1.0720	-3.3682	-3.7010	-0.6785	3.7254	-0.5586	3.1689	6.5193	4.8957	3.9173	1.1428	-0.0448	2.6327	3.7606	-1.1685	-0.1691	5.6353	4.7436	-3.0901	3.1664	14.4193	-2.4043	0.4833	-4.5169
-0.9356	-0.6086	1.8761	2.3473	-4.7968	-2.5431	-1.9040	0.5628	-0.7312	-3.1634	0.1104	0.9277	2.6619	1.1780	-2.1230	-0.7663	-0.5804	4.2854	5.9999	6.0158	2.3295	0.2972	-1.6436	1.0430	1.1939	0.4654	4.8973	2.4428	1.2136	5.4963	0.7305	-4.5736	0.5706	1.4834	5.8851	-2.8514	-3.9244	3.0176	2.6038	1.3146	9.5740	-1.3027	-4.6985	6.9810	-6.4567	-5.3680	-4.0036	-20.0569	-2.3957	-10.7054
2.1540	1.7267	-0.7114	0.3493	-0.7763	-0.8086	-1.0372	1.6760	1.6890	-1.1628	-0.2981	0.8908	-0.0704	-0.4138	2.0083	-0.6353	0.5380	5.8093	1.3388	1.5036	-0.5279	-1.0755	-1.0573	2.5781	0.5923	3.9273	-2.1972	2.4285	1.4682	3.9901	4.1329	-1.6594	3.4385	1.8019	4.0715	2.1249	3.3337	5.1819	-6.4317	3.0201	-2.6043	-0.7757	-2.9629	-11.5415	2.5749	1.5416	4.5325	1.4169	-0.7416	-0.6415
2.6249	0.9705	-0.6390	1.3479	1.1874	-2.6266	-1.3686	0.1049	-1.3176	-0.5173	2.5020	-0.9685	-2.5749	1.8585	-1.1570	-2.5679	2.3504	2.7083	-5.0914	-3.5222	-1.5619	-3.1750	-3.0181	-0.6496	2.4880	-0.6589	-5.0457	-0.9644	-1.3143	-2.6469	2.1364	-5.9141	0.7361	2.9130	2.1367	-0.8216	2.3586	3.1255	1.1776	-5.4756	2.8360	0.4671	1.2360	2.0875	-4.1527	3.5451	-2.5933	7.3683	1.7571	-0.7978
2.2606	2.0008	-2.5566	-0.3053	4.5474	-0.4473	-0.0083	0.2756	0.8722	-0.4588	-0.1971	0.3619	-3.5529	1.3762	3.9835	-2.6845	0.4778	0.1029	-6.7982	-0.7363	-1.9406	-0.8028	-2.8880	2.7492	0.0310	1.1186	-4.4702	0.1162	-1.8076	-3.3409	2.0839	-1.7942	1.5534	4.7419	2.8454	-0.4582	5.3229	3.9598	-5.8357	-4.5387	-4.4048	7.9936	4.0213	-10.8006	0.0914	2.4923	0.5695	5.4613	0.9423	7.4017
0.5837	-0.3390	0.8741	-1.3581	-2.1048	0.9993	0.9043	0.9877	-2.0039	0.5839	-1.3265	5.1404	6.0027	1.6535	-0.0194	3.4824	-0.8254	0.6165	7.4314	5.9128	0.3497	-0.8681	0.9855	-1.0508	0.1324	-1.8321	2.8706	5.4421	7.2435	15.1358	-4.6267	1.0382	-8.0363	-16.1327	-13.3295	-10.9930	-5.5818	5.0689	1.4234	8.4647	9.1858	-2.3548	-10.2824	4.9190	-5.2603	-0.3369	-26.9428	6.3407	-0.6709	-0.3470
-2.7279	1.9183	-0.8136	0.9649	0.6748	-0.4289	-1.1905	-2.3275	1.5563	-2.5801	0.7585	-2.9481	-2.4135	-0.4640	1.6513	0.8428	1.2946	-3.5914	-3.7051	-3.5852	2.5355	1.0915	-1.1368	-2.6735	1.1444	0.6320	-2.1252	-4.7132	-3.9073	-4.8648	2.5806	4.8199	5.5914	0.3588	9.8304	7.4062	-4.0900	-0.6869	-3.7305	-5.6496	-4.3379	-4.7768	1.8916	-4.3200	2.6272	-1.3519	13.1652	-6.9132	2.7441	-14.0252
