X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X70
-1.0647	0.7386	0.7346	1.0075	-2.8179	0.6405	0.1840	-2.2754	-2.2259	0.6510	-0.4027	-0.6027	1.0809	-1.2255	2.9845	-0.3167	-0.7160	4.2615	1.6827	0.9093	-1.1833	1.7396	1.2972	3.9585	-0.7546	1.4345	-0.8746	0.1739	-1.7790	-3.0213	-0.0671	-0.6891	0.3991	0.6951	1.3887	-0.3537	-7.6329	1.0834	-0.7106	-3.4044	-2.1766	-2.0694	3.0832	0.9245	3.4348	-4.0988	-0.1698	2.4304	1.0487	-9.6245	11.8564	-2.6637	-3.0557	3.1497	1.0119	1.8521	-7.0353	-4.2348	-2.9373	-11.6169	0.1031	-3.9580	11.3773	5.3076	-6.4458	-1.3059	10.2914	0.6394	0.3180	-0.7666
-4.7982	1.2821	0.4865	-0.2514	2.4459	-0.1426	0.2032	2.3600	5.7906	-0.3476	-0.3561	1.8794	0.9180	0.8968	1.8286	-1.4562	3.2173	-3.6359	0.8221	0.8136	0.1950	-1.4738	-0.5222	5.6594	-1.7263	0.2911	-1.4120	-2.1929	2.7969	-3.9105	-2.3480	-2.0695	1.3645	2.6034	2.6120	-2.6142	4.6262	-2.0574	-0.1233	6.4432	3.3575	-1.8060	-1.6365	2.7722	-2.8998	1.4160	0.3135	3.1365	2.0830	7.5703	-7.4773	-1.6967	0.7205	3.1491	-0.8421	3.7468	7.2982	5.9144	-7.1347	-7.4620	-0.9051	-2.5065	-8.5644	5.7498	10.1626	-0.5439	23.7847	1.2793	1.3019	-3.2684
-1.8710	1.6072	0.3303	-0.3722	-0.2751	-0.1775	-1.4147	1.4483	4.4311	-1.4230	-0.0706	-0.4443	3.1892	1.9479	0.8192	0.6395	-2.1354	1.4830	-1.8436	-0.4328	-0.7914	-2.1717	0.4537	0.3959	2.1169	0.6151	-1.0880	-1.3775	-5.9544	-1.9725	-1.8011	-0.2563	-0.3060	-0.5435	0.1041	-2.1477	-2.6776	0.9297	2.3631	-3.8460	1.4077	-1.3705	-0.7371	4.1647	1.6709	1.2499	0.4374	-4.0165	-5.5426	-3.1405	3.6379	-1.2375	-1.9312	4.2386	-1.1751	-2.8488	6.2594	5.1532	-1.7049	3.4347	-0.8133	1.8667	5.7623	9.1992	-0.3785	0.2860	-2.5658	2.0446	-1.0725	2.6511
0.7720	-0.3798	-3.0801	-0.4275	-2.5252	2.1328	-2.7649	0.9854	1.7477	1.0698	-1.3551	-0.3855	1.4069	0.6524	-0.7818	-0.9831	-4.2019	2.7470	1.9508	-0.4241	-1.5378	3.1527	0.7391	-1.1336	-4.5676	0.0539	0.1722	-0.9012	6.0100	2.1308	0.8258	-1.8983	0.0125	0.6651	0.7948	-0.5617	-5.0650	0.7612	-1.5788	-2.9173	-1.8036	1.7274	1.5500	-4.6101	-0.0100	1.9170	1.9243	4.0389	1.5036	-7.6219	6.5078	-0.5953	-9.3400	-5.4105	-0.2648	5.1691	-6.3192	-7.1004	-0.1238	4.4820	-1.7980	0.0811	0.0743	2.7673	-7.6635	2.0131	-21.3799	-1.1166	-0.3703	4.6154
-1.6342	1.8362	1.8044	1.6668	-2.1245	-1.4550	3.1071	2.7840	2.5326	1.1694	1.9124	0.7545	-2.6179	0.4641	2.7954	2.8387	2.0145	1.1587	0.0019	-1.3542	-3.3160	-1.8255	3.4079	3.5820	-1.7763	-0.6498	-7.1130	0.2640	-0.7533	-5.9827	-3.2600	-3.1909	-0.7631	0.6615	5.5580	-2.6541	-4.8789	-0.5098	2.1445	6.8590	0.8732	-1.7251	-0.7373	3.3028	-4.1424	2.8024	-1.4319	0.6322	-6.8447	-6.0438	8.9496	-3.1504	-6.4584	3.7032	-0.2438	2.0256	-4.3955	-1.0550	-1.0414	-1.4197	-2.5337	-6.6713	7.4844	-3.5503	-1.8152	-1.6109	8.4616	1.7157	2.8694	-0.9997
-1.2642	-0.7058	-0.1425	0.6445	-0.7604	-1.0894	2.0833	-1.1647	0.8995	-1.9681	-1.3376	0.3164	3.8840	-0.5963	-0.4099	-2.7705	-0.8152	0.4734	1.6897	-2.3286	0.8365	0.4645	-3.7744	1.5575	-0.2382	-0.1317	2.4621	-2.1967	1.9516	3.1915	0.3876	-2.1905	-0.0351	0.7184	-3.2751	-1.1620	2.7211	0.9705	0.7241	-3.9249	-0.3428	1.0453	-1.4306	3.5021	2.6784	-0.9857	0.1030	3.1146	5.3561	3.1856	-2.0110	2.0079	4.5485	2.4082	-2.6346	3.4870	7.1758	-0.9324	-1.1207	-1.4762	1.9685	6.0974	-2.5770	8.7493	1.9241	1.2470	-1.1917	-2.1954	-2.0093	1.2147
0.7137	-1.8257	-0.3151	1.0137	-1.8804	1.2441	1.6234	0.0661	1.1547	1.5888	0.0841	1.5517	0.7214	1.6651	-1.9341	-0.0561	-0.7727	-0.5797	3.9357	-2.5549	-2.5974	5.8737	1.2282	0.3514	-6.5949	-0.0635	-3.0844	-0.1428	6.5578	0.6996	4.5665	0.1649	-1.5838	4.3595	-0.3673	-1.4404	0.9024	2.4485	-1.9701	-4.8013	-2.0793	0.4605	-0.3629	-2.5845	1.1548	-1.2472	-2.1747	6.1808	4.5707	2.5029	1.8663	-4.5849	-1.2413	-3.7048	3.7802	10.1972	-0.3192	-11.3927	3.3880	5.0575	-1.7943	-4.8862	-2.1786	10.5282	2.6957	0.9578	-4.8499	-7.6560	-1.9600	-2.2699
0.1407	-1.1092	1.5664	-1.1186	-0.4865	-0.6578	-1.2048	2.3738	1.9892	-0.4835	-1.2760	-4.1679	-1.7236	3.1382	-1.9489	-1.4831	0.0471	-1.9132	-1.6294	-0.8602	2.3469	-3.1111	-0.1545	0.9384	2.0845	1.2997	1.7587	-4.6604	0.1830	1.9964	5.4863	-0.2650	-0.6331	-2.5290	-1.9740	-2.9534	2.6909	-2.2719	-6.4284	-0.5868	2.3865	-0.4576	0.4662	-9.0865	-1.7621	3.2547	0.9192	-4.7573	5.8130	-0.3379	-6.0006	2.5504	-0.0760	-8.9301	0.2226	-3.1457	-6.1588	3.8173	1.5412	3.9601	1.3104	7.1657	-3.4236	-7.2057	3.7973	0.9748	-9.2439	-8.3740	1.1810	-13.7160
3.4943	0.6215	0.1463	-1.6176	-2.3170	-1.9679	-0.4741	1.9626	3.2914	-1.7254	-0.0789	-3.0838	0.8566	1.4478	0.3094	0.2520	-0.4896	8.0485	-0.9190	0.1938	1.8020	-1.2477	0.0717	-3.1382	2.6201	-0.4289	3.9861	0.3425	-0.2563	3.4351	0.5686	0.4979	1.7973	-0.7547	-2.7402	-0.2241	-12.2868	1.9909	3.5703	-1.8361	0.0663	2.1544	-0.1209	1.3808	4.8732	-2.4051	-0.8076	-3.9767	-4.0498	-17.7933	15.1410	0.7376	-10.4929	0.8267	-0.3327	-7.0419	-8.3787	-1.2575	3.3838	3.1846	0.0786	6.1810	11.9614	5.6944	-19.0363	1.3077	-26.8048	3.2039	0.6886	6.8834
1.1756	-2.0838	-1.5146	0.8900	-0.7361	1.7756	-1.4906	-2.1509	-4.2484	1.2065	-3.6423	-3.5871	5.4341	0.1767	-0.7179	-6.9984	-0.7677	-0.5684	-2.1024	-0.1979	1.8219	-0.2674	-11.9200	-0.7563	-1.3104	-1.0362	4.2625	-1.2212	-4.7989	15.9482	0.3853	-1.9395	0.7799	0.2832	-11.0242	-0.0479	13.9966	3.4853	-1.1526	-9.6493	0.9394	1.2161	-2.8646	-3.4901	6.9342	-6.9773	-0.0377	-4.4600	13.4815	19.9798	-23.4015	3.3006	21.0296	-2.6922	1.5536	-3.7548	24.3415	0.6927	0.8318	-5.7743	2.8037	3.5262	-12.8531	13.5707	3.3194	3.7823	6.7636	0.5617	-1.0088	-0.2715
