X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20
-0.0674	0.0019	3.9287	-0.3652	0.9340	0.9507	-1.9735	-1.8230	0.3207	0.3178	1.1430	-6.5623	-0.1810	0.9809	-8.2581	-1.6549	1.1449	1.0573	8.5844	-5.2874
1.7693	-1.8792	-2.6957	-4.3165	2.2507	-0.0587	-1.1733	-1.5729	-3.6949	0.0571	0.3743	12.6191	-1.7814	6.3454	16.7850	-0.7433	-1.4043	0.4278	-10.1409	-4.9506
-1.2686	0.9053	0.4826	-0.2358	1.7368	1.0114	0.2089	-1.0987	1.9042	-0.8167	1.9034	-4.4499	0.0645	3.8182	-5.5078	0.0794	2.6904	0.9302	7.3297	-2.0612
-3.4763	-0.7834	3.5489	-1.5450	-0.4989	-1.0093	-4.1406	1.1482	0.7669	0.3113	0.4264	-1.3968	-0.1541	-0.2298	0.6557	3.1144	0.9957	0.8672	0.5776	-1.6497
-1.0747	0.2039	0.6080	0.8444	0.1336	-0.7113	-0.6563	0.1171	-1.3753	1.1240	-3.6085	2.5007	-0.4227	-5.8608	3.5726	-0.7341	-4.7495	-5.5340	-8.8314	1.1419
-2.2730	-3.6080	4.9734	0.7207	-2.1332	-0.1640	-9.6468	-0.7724	-1.7040	-1.0851	7.6699	8.0858	0.6560	10.4617	11.5991	8.0562	11.4233	13.8963	3.8502	-3.1462
-0.9316	-0.9761	1.2060	0.2686	-1.8282	-0.4397	-3.9064	1.0508	-2.5807	-0.4350	0.5049	6.0999	2.2533	5.1303	7.4602	0.4496	-0.2397	0.3871	-8.6562	6.3298
-0.9789	-2.4257	0.3601	-0.3437	-3.1629	-1.0268	-3.6667	-0.3647	-2.4069	-0.0384	0.7134	5.4396	-0.4265	1.2017	7.2575	-1.4864	1.3474	-0.7509	-6.5513	1.9209
-0.0458	2.8133	-2.3336	-0.0776	-1.0203	-2.1826	2.0240	0.1050	-0.7011	0.4370	-5.7585	2.3608	-0.3636	-8.6532	5.0037	-1.6320	-6.0105	-4.8231	-9.7818	2.4743
2.3307	-1.5678	-2.6006	-1.7054	-2.3231	-0.6248	-4.4605	-1.3769	-7.8589	2.0515	2.6979	23.2171	-1.6711	7.2701	26.5898	0.4791	5.9149	7.1507	-10.8208	4.2046
-1.6318	3.1253	2.8090	0.6835	1.3875	1.3065	3.2549	-0.9849	5.9500	0.2382	0.0666	-18.6292	-0.1321	-5.6121	-24.3339	-1.3074	0.8619	1.5808	16.1303	-3.1467
2.8541	0.0676	-3.5019	-1.1992	0.4147	0.4192	0.9928	-0.8832	-1.4848	0.7415	0.7024	6.2089	-0.9010	1.9743	8.0354	0.2918	1.4791	0.5633	-4.2888	-0.7872
2.2679	-1.3531	-1.9806	-1.6528	1.9022	0.9207	0.1950	1.6836	-3.5928	0.5875	-0.9126	9.8848	-2.0782	5.3946	9.5187	2.0795	-2.1422	-4.3112	-12.4794	1.5592
1.1938	0.3959	-4.1544	-0.2578	1.9626	-1.2690	1.1246	2.4200	-3.0415	3.4507	0.2480	11.2161	-0.1595	0.2270	14.0680	0.6510	0.9350	1.1991	-7.8448	8.6102
-1.1427	-0.1517	2.2250	0.1082	0.8273	-0.0851	-2.7449	-0.3163	-0.1684	0.1673	2.2608	3.0339	0.4041	0.4859	1.8678	1.9486	3.4496	5.6237	4.2168	-3.0106
0.4270	1.1419	-0.9885	-2.7961	-0.9392	-0.2712	1.4897	-3.5580	0.8155	0.5065	1.6119	0.3331	-0.7241	1.4098	1.1966	1.7014	0.7452	1.3398	-0.1044	-3.3844
-0.4654	0.0794	0.3335	0.7046	-1.2665	-0.7956	1.6443	-0.2906	3.0306	-0.0173	-2.8637	-8.1976	0.4912	-6.1154	-10.5590	-1.6440	-5.3747	-5.8014	1.2740	1.5794
0.3586	-0.4018	-2.4232	1.0582	-1.2881	3.8287	0.5955	1.3941	-0.7267	-0.7214	3.3086	5.1486	0.6100	3.1727	5.8273	1.8535	2.9001	3.5676	-0.4071	3.7430
1.4289	0.7468	0.5229	-0.9042	0.8572	0.9552	5.8099	2.4418	6.7478	-1.3589	-6.2074	-20.7384	-1.3594	-10.5586	-26.0304	-3.3525	-8.2899	-10.8385	11.3297	-2.9463
0.9257	-1.9100	-0.3083	-0.3414	-2.8045	0.7217	0.4692	0.5694	-1.9489	-1.6836	1.0452	1.0379	-1.4829	3.9939	3.5923	2.6997	-3.6811	-5.6273	-7.4824	-4.0691
-0.6251	-2.2847	-0.4674	-0.3363	0.3119	-1.9524	-2.8089	-0.7022	-0.6446	0.2060	-0.7800	8.2984	0.8312	-1.8479	8.8937	0.4102	-0.5397	-1.3557	-10.4327	5.1293
-1.9754	0.2032	3.1033	-0.9463	-0.8602	-2.4436	0.8931	-0.7167	4.8517	-0.4178	-1.2702	-9.5209	-0.3324	-4.8593	-11.8584	0.1467	0.9774	1.7094	7.8730	-2.3545
0.9529	1.8326	-2.4817	-0.1775	-0.5947	0.1698	2.8110	-0.0080	-1.0087	-0.7365	-0.5875	-2.3829	-0.8626	3.4319	-4.4914	-2.1549	0.3167	-0.8795	3.0213	-0.8578
1.2912	-0.7933	-2.0324	-0.8014	0.5671	1.0319	1.9839	-0.2672	-0.2712	0.0081	-1.4660	1.4044	-0.4358	0.5783	0.6629	-4.4190	-0.0494	1.8897	0.9927	3.8514
-3.5188	-1.7356	2.7434	-0.5347	-3.1999	0.3734	-4.8198	-0.9447	0.8417	-0.1670	4.5776	3.2474	-0.5269	7.1717	4.5341	0.9516	5.7324	7.8468	7.1599	-2.4856
0.8365	1.6261	0.1221	-0.1538	-2.6768	-2.8651	1.9669	-0.2874	2.5714	-0.5110	-3.7507	-8.8737	-0.8025	-3.7794	-6.2536	-3.7475	-5.1250	-5.3585	4.0027	-4.7944
-0.3042	-1.4554	-0.1036	0.3882	1.9372	-0.2782	-1.8305	-0.6385	-1.1865	0.1620	-1.6141	4.4932	1.2103	-0.4898	3.7898	-0.9738	-1.4169	0.3639	-8.1058	7.2846
0.4482	-0.1493	-2.6699	1.7475	1.2058	-3.9738	1.2830	1.5618	-1.9516	0.0452	-2.9571	3.2244	0.6521	-5.9643	6.8034	-2.4284	-2.1529	-1.7285	-4.2184	3.6374
1.1217	-0.2903	-2.2579	-2.2836	1.6626	-5.2770	1.4415	-4.7903	0.2492	-0.9483	-6.6394	-3.5189	-0.7227	-7.3353	-2.1052	-6.2956	-5.4775	-6.2331	-2.3363	-2.5407
2.0605	-0.5221	-4.9158	0.9727	1.8198	-1.7558	-2.0322	-0.1912	-7.1678	0.0233	1.4368	17.6944	0.1473	6.1293	21.5789	0.8180	-1.2519	-0.1715	-18.3134	5.6492
