X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50
0.6269	-0.1018	2.1516	5.2645	0.0482	-2.5967	-0.4788	1.2786	3.3225	-7.7123	-4.8326	0.5534	2.7156	1.1369	0.4515	1.7325	-1.0509	3.5602	0.6030	-3.9075	7.3306	-0.6315	-16.1787	0.5911	1.5305	4.6047	-4.2616	0.0903	2.8366	-2.6461	-3.8366	0.7312	1.3887	-1.8423	-1.0696	6.1092	7.6488	1.8965	1.3731	5.2241	-4.4781	-0.6967	3.4020	-10.3995	0.7709	-3.9401	-2.6058	-17.0290	-7.0220	-3.4707
-0.3236	-0.0742	2.5304	5.0564	-2.1624	-2.5038	1.2949	-1.6704	1.5271	-2.2909	-3.2361	0.6901	0.6128	-6.6754	1.0434	-1.6251	0.5869	-0.3058	0.2664	-15.4111	-1.8280	1.5942	2.2034	-3.2071	1.7808	0.6393	2.2989	3.5738	3.2117	-0.1265	-21.0365	-10.2122	1.5975	10.3027	13.9364	0.6747	-1.9005	-0.3650	8.4480	19.7235	-4.2737	-4.3215	-2.7333	2.2357	-0.6026	4.6312	6.2245	3.1242	-5.3947	-2.1038
-0.6720	0.3281	2.4036	5.1349	-0.5452	-0.9308	0.1616	1.2524	-0.3254	-0.7679	-4.8144	2.9690	1.6964	-7.7848	1.8337	0.0950	-0.3804	-0.2599	-0.9477	-16.0823	2.7050	-0.4806	-3.8971	5.9323	2.2293	1.3628	-7.0313	-1.4053	-0.3228	-5.1041	-31.4010	-6.3977	2.5375	9.5516	13.8806	4.1957	3.6188	-1.0130	9.2202	19.2432	3.1259	-2.5333	4.6484	-6.9141	3.3011	-2.8683	5.3503	-1.8699	4.6016	3.6686
0.4083	-1.6003	1.0706	2.8298	-0.7991	-0.9609	-1.8653	1.0755	3.1031	-1.3080	-1.3475	-1.1364	0.9237	-1.0607	-0.5267	-0.5598	-3.3032	2.8939	-3.1034	-4.6870	-4.1275	0.2035	-1.9376	-2.7620	-1.8507	-2.8609	-0.4622	-4.0269	6.4442	3.6018	-2.5286	1.8778	1.4394	-1.7132	1.8392	-3.5853	-1.8712	0.2582	4.0463	6.5466	-3.0142	2.3792	-4.0513	5.6661	-1.1131	-1.9710	6.1267	-4.4494	-3.0118	-2.7593
1.7421	0.1325	0.2208	-1.4387	1.7773	-2.8161	0.7247	-2.4460	2.5458	-4.6419	-2.9988	2.8816	-4.9733	11.2972	0.2238	0.0973	-0.8201	1.4194	-2.0423	16.4450	-0.5765	1.4128	6.0034	-4.5597	-7.9461	-2.5913	2.4799	-2.0056	5.6340	2.8306	36.5340	15.8562	-0.0506	-15.7561	-17.8464	-3.4442	-3.3799	3.3110	-12.1830	-19.2286	-9.1881	1.5788	-5.1565	5.2605	-4.1145	3.4457	-5.0117	6.3391	-0.2833	-7.7266
0.1159	0.7680	1.2646	3.5417	1.7074	-1.3431	-1.1003	-2.6019	3.1522	-4.3452	-3.7409	-2.1636	-5.1414	0.7261	0.2838	2.5818	3.2869	2.1589	1.6117	-0.7907	2.4339	-0.1152	0.6429	-2.0628	-5.1883	2.3403	-0.3602	-1.2687	5.1401	3.0127	0.3444	2.7434	2.2149	-1.3979	-1.9578	-2.8745	-2.7223	1.9224	-2.4391	0.9749	-11.0030	-2.3699	2.0228	-3.8897	-1.2649	7.8000	3.8754	0.4323	-7.3585	-9.4128
-0.3253	-2.4004	1.9644	2.8844	-0.6490	-1.0891	-0.0460	0.4182	-1.6468	2.9122	0.2536	-1.3195	-0.8412	-9.3492	0.7237	0.3163	1.0596	-3.1755	-1.4820	-12.1570	0.1627	0.0795	4.2643	1.7742	-0.9191	1.3673	-0.2861	1.4587	-3.9064	2.1239	-28.4467	-8.2926	2.9835	10.7932	11.8261	-0.6851	-1.7432	-0.9775	5.3273	14.8442	-1.4819	-3.1426	-0.6845	-1.7174	-1.5194	2.5369	6.9952	6.3020	-0.6392	-2.0159
0.1296	-0.5807	-0.0535	-0.0695	0.2727	-0.0777	-1.7428	1.2464	-0.4280	-2.9430	-3.6768	-1.7034	2.7957	5.4103	2.3741	-0.0468	3.5615	3.0740	0.1989	7.9830	2.6455	0.4883	-5.5853	0.6437	4.8861	2.9584	-0.5150	1.3717	4.6680	0.7421	18.0258	-0.5899	-0.0037	-6.7165	-11.6707	-0.1217	3.4799	-0.9030	-9.6468	-7.7206	-0.3440	1.9934	0.3093	-4.3987	5.5561	-0.7674	-7.8389	-5.2037	-8.2547	0.4513
-1.0981	-3.9883	-1.9578	-2.5261	0.3932	1.8636	0.9243	3.2223	-2.7415	2.6532	0.7241	-1.0651	4.1722	-1.3191	2.1058	-5.0428	-2.6277	-3.3591	1.0691	-0.1155	-5.9349	-0.2688	3.7681	4.6780	10.9930	-5.9909	-3.4658	-5.4288	-7.5878	-0.5685	-4.8051	-9.8605	-0.6763	2.0133	-2.5970	0.4056	-1.9597	2.6784	0.3933	-1.8259	3.1589	-0.6477	4.8465	8.0614	1.4332	-2.1060	-4.2153	4.4006	-10.7642	1.7390
0.5754	0.0167	-1.5206	-6.6597	-0.0992	-1.6871	-0.9479	-1.1137	3.2748	-7.3767	-8.0140	0.1797	-0.7393	16.8953	2.4362	2.4294	-1.5810	5.2631	1.1952	30.5114	1.8445	0.6605	-3.8384	-2.6076	-5.2084	3.6622	-2.6486	-3.2752	7.0440	-3.7824	55.5782	18.4123	-2.4802	-21.2230	-28.7567	5.0651	2.3795	3.8319	-17.5449	-36.1426	-8.6196	6.3061	6.7646	-7.9453	-2.9249	3.5995	-16.8802	-2.7649	-8.6175	-4.9667
