X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20
2.9495	-2.0337	-8.1430	-0.1469	-3.3452	2.5135	-3.1493	-0.9586	3.7803	0.4480	1.5486	2.6511	1.1735	-0.1615	1.5225	-9.2670	4.6861	-2.2133	12.4685	-5.8267
-0.9075	-0.6649	-1.0683	-0.1169	-2.3750	-0.2479	-3.2118	-2.6894	-0.6909	-0.5957	-1.4223	2.1866	-3.1582	-0.9212	0.7955	-3.4063	2.2380	2.2150	1.1907	-2.5711
0.2983	0.7364	-0.9901	-0.4067	1.9257	0.5771	-0.5433	0.2607	2.3615	0.0973	2.1852	0.0118	4.9084	2.6451	-2.0455	-3.4432	0.2316	-0.4257	1.6207	0.8461
0.2563	-0.1095	1.7782	-1.8519	0.1882	-1.4011	-1.9220	-4.5009	-1.9356	0.2283	1.6384	1.3239	-1.1098	-2.5225	2.8399	-5.1357	-0.8282	-1.6118	-0.4944	0.7052
-0.5085	-2.3387	0.3081	-0.5274	-2.9001	-0.6733	-6.8023	-5.8355	-2.1237	1.4529	1.2412	2.5494	-7.2974	0.0269	5.6259	-10.9111	5.0942	-1.6372	6.4742	-0.2239
-1.5902	1.9212	5.6277	0.6086	1.7333	-0.5559	4.1684	1.8192	-1.9109	0.5966	-0.2445	-1.0722	2.0514	-1.5279	0.5867	6.3307	0.2409	3.9186	-2.1792	2.5454
-1.1969	-0.4590	-2.2202	-0.3274	-1.4989	-1.3834	-2.2634	-3.4711	-1.1974	0.7994	-1.9314	2.2017	-8.2842	-0.3166	2.9771	-8.9409	0.0352	-2.0131	-3.7644	-1.5812
0.5620	1.1808	-2.9662	-0.7952	-1.6775	2.0426	-0.1741	-0.5373	0.6749	2.9844	1.6336	-2.3186	3.1262	2.8966	2.0988	-6.2482	-4.6073	0.9847	2.5139	1.4748
0.1067	0.0951	-2.5052	0.2742	-0.6629	-0.2872	-1.4093	-1.6164	-0.6936	0.8043	-2.1473	-2.2391	-5.8042	-0.0550	2.2897	-5.2721	-2.7133	0.9601	-5.0103	-0.2043
1.5893	1.0321	-1.5366	1.1035	3.5964	2.8349	1.1979	0.5153	2.7031	-1.9095	1.8807	0.6279	2.7493	3.3502	0.8651	1.0103	-1.9990	3.0297	-3.2295	1.2016
-0.8989	-3.6857	2.0133	0.3490	-4.0294	-1.0231	-6.5487	-7.6956	-2.2389	0.1835	0.9280	0.7260	-9.1800	-1.0896	4.8235	-7.0839	1.4100	-3.0322	3.2296	-3.4103
-2.1333	0.8197	2.6820	-1.5193	-1.0839	1.1232	-0.3150	1.7506	2.2330	-1.5448	-1.8118	0.9702	1.0858	-2.7094	-0.8293	4.8802	-0.6252	0.6252	-6.9557	3.2876
0.8294	-1.8766	-3.2279	0.5771	-3.1114	1.5714	-2.6264	-1.0321	2.1415	-0.5940	-0.0291	-0.8272	-1.7134	0.5986	-1.0184	-5.6271	-3.9200	0.7730	-1.1169	-5.5103
0.6694	0.1887	1.7648	0.5832	0.7039	0.3989	2.2202	4.9622	1.0534	-3.1676	-1.1411	-0.1238	1.6409	2.8921	-1.7621	11.8976	1.2736	-2.7263	-1.6343	-2.5592
1.8495	0.6348	-2.4102	0.7917	-5.1896	1.9970	-4.0114	-3.0721	1.9875	-0.7497	0.8343	-0.6742	-2.7845	3.3079	4.1717	-3.8953	1.6049	2.8457	15.4446	-0.0896
-0.7877	2.4832	2.3200	-0.0555	1.6898	-0.2328	0.9952	1.6836	-2.4682	1.2640	-0.4972	-2.3355	0.6370	-1.3520	-3.1746	3.0921	-0.9184	4.7077	-2.6338	2.5243
