X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X70
-0.0086	-2.7090	0.1584	0.5430	2.4727	-0.0442	-0.2166	-2.0914	-0.1250	-0.8951	-1.0933	1.6424	-0.6948	-2.1567	0.4054	0.2022	-1.6195	2.7131	0.3439	0.5817	0.6940	-0.7286	-1.2468	0.7810	0.9080	1.9663	-0.5978	-0.2562	0.5434	-0.4176	-1.7533	1.1822	4.9553	-5.5599	-0.0454	-7.5871	1.8190	-2.3996	4.0471	-10.0376	-0.2410	2.7142	1.3305	-1.9816	0.9615	-9.0941	-3.3426	1.0781	-1.8849	-8.8741	0.7535	-5.1340	3.3074	-13.3829	-0.9518	-11.8543	-4.3660	-6.0940	12.9181	-6.9959	1.4813	-1.7981	-3.7219	-7.0117	-12.4079	2.6658	-3.6392	-3.2095	1.0210	-8.9002
1.5701	1.9952	-0.3958	-0.0950	-2.1162	-1.1240	-1.0886	-0.0222	1.5032	-1.1718	0.9251	1.9232	1.1353	3.0088	0.2558	3.5529	2.3455	-4.3517	0.6036	-0.2416	-1.2550	-1.3478	0.6207	-1.3974	-1.0710	1.2644	-2.0215	-2.8183	-0.1560	-2.5442	0.5120	0.8530	-0.7357	-2.8148	0.8840	-0.4969	1.3781	2.2014	-3.1670	-2.6487	-3.5324	2.9733	-0.2805	-0.8075	0.9348	-10.6515	7.2569	1.4572	5.2126	-3.1397	-3.6966	-15.7922	1.6355	-13.5539	3.3665	-22.9778	-3.7485	2.9060	3.1316	-0.2869	13.2373	3.2320	-0.4391	4.4768	0.8662	4.8273	-0.5485	3.3722	11.7869	-0.4839
-1.9621	-2.5770	0.8058	0.1513	1.4968	2.1451	0.0564	1.0563	-2.4862	1.9749	-0.0970	-3.2250	-0.2670	-3.1944	0.8974	-1.9797	0.1376	-1.5912	-0.7576	0.5610	2.8164	-1.5744	4.5976	-0.3283	-0.9139	1.1842	-2.3443	2.9166	-0.7493	0.2137	-4.2376	1.4720	-1.7854	-1.4558	-0.6276	2.5684	-1.0760	-3.8491	0.1559	2.9181	6.3308	1.0969	2.0191	-4.0782	-0.4247	14.1851	-9.1057	-6.2062	-5.9500	8.7618	9.9528	15.8010	-2.3173	18.5970	-4.4206	31.7150	-1.3441	0.1763	-11.2702	2.0084	-10.0574	-2.8265	-2.2118	0.9235	8.6119	0.4529	4.2907	-10.1957	-28.5552	1.4300
0.7910	0.8774	2.7598	1.5052	-1.0050	-0.1606	-2.3003	0.3698	-2.4125	2.3554	-1.6560	-0.5043	-0.9259	-0.9735	0.5838	-1.1412	3.2640	-5.0400	-0.3294	-1.7657	4.1674	2.3176	-5.8471	-1.2730	4.2888	-0.6735	1.6425	0.3521	3.5788	6.4303	0.0348	4.8058	1.9417	-2.4134	-0.6520	-0.9828	0.7796	2.1051	-3.2342	0.4617	-2.5481	3.5820	-3.3294	-1.6379	2.9714	-3.9223	1.6903	-3.5174	2.1837	0.8875	-1.9887	-0.3311	-2.2226	-6.3241	7.7282	-7.8008	-1.3967	8.0182	0.7130	0.2702	-1.8783	-4.3932	-1.7561	-2.8961	1.6877	-1.0854	-2.6615	3.2887	-1.3394	-0.7622
0.3937	-1.2583	-0.8972	1.9152	-1.8579	-0.7534	1.8522	0.9287	-0.3776	4.8892	3.0496	1.4427	0.8006	-0.4294	-0.1235	0.6855	-2.0935	3.4508	1.1815	0.3945	-1.9834	-0.5222	10.1294	-0.0927	-1.9599	0.4581	-1.1691	-1.7290	1.4989	-0.3659	-1.8654	-1.5812	3.7648	-0.3947	1.0058	-3.3162	0.8137	3.0912	0.0404	-3.3394	-5.2337	-2.9628	2.7447	0.2448	-2.8090	-11.3221	-6.0383	-5.9016	7.5579	-8.3015	9.6249	-8.0506	-0.2312	-12.1794	7.5384	-14.8136	5.9105	-6.7328	16.8818	-2.5742	2.6182	1.2624	-2.9134	-2.1890	-14.6780	4.4625	0.3404	-1.0354	2.5507	-2.0815
0.2145	-4.4627	1.5859	-0.8693	1.1653	0.6634	1.1782	-1.6532	-1.3743	1.5444	1.3503	-1.0765	0.3417	-3.4774	-1.1199	2.0497	-1.3626	-0.5816	-0.4186	1.5971	0.3838	0.7929	5.2284	2.8596	1.6531	-2.7740	1.3513	-0.7394	2.3295	0.8549	-6.9117	1.0822	9.6140	5.7239	0.9023	-12.2325	-0.7313	0.9437	6.0492	-18.9607	1.8113	-1.2520	2.4212	1.1071	-0.9303	-17.9837	-10.5699	-6.0209	-2.0912	-19.3634	10.7079	-6.7468	21.1358	-21.9604	10.1731	-23.8055	-0.1386	-11.2211	34.5198	-10.7879	-4.2582	-3.4974	-5.4766	-8.1966	-34.5128	-8.0431	-0.5448	6.0310	6.7997	-16.7159
0.9164	-1.3495	-0.8192	-1.0179	-4.6412	-0.1749	1.5788	-0.1813	-1.8345	-0.2027	-2.2113	-1.0466	1.8585	-2.5430	0.5181	0.3701	1.0800	0.6851	0.4642	-0.1108	0.7066	-1.9903	-0.0569	-0.2457	-2.7753	0.0435	-3.4408	0.2024	2.1977	-1.6428	-1.9837	1.1927	2.4904	0.3875	0.0623	-3.2320	-1.1668	-6.2189	-2.1234	-7.9217	10.7597	3.1147	0.7397	2.9623	-1.9411	7.0272	-5.0589	-3.8273	-11.5918	6.3297	15.2280	8.5601	7.5381	8.1038	-7.9713	16.9063	3.2062	-5.7453	0.4326	-10.2197	-11.5485	2.5208	-0.3616	4.8784	-0.8208	3.9739	3.5668	-14.8583	-11.1375	2.8008
0.6318	-3.3749	-2.1585	-1.4447	0.2261	-2.5829	-0.9138	-0.5050	0.4461	-0.6727	0.7647	2.9194	-0.4473	2.5202	-0.5483	0.9292	0.6795	0.1438	-0.0315	-0.8255	-0.2302	2.9947	3.3933	-1.3133	2.6887	0.0096	3.0280	-0.6969	-0.3450	3.6703	-5.1629	-0.6573	2.6704	-2.4335	-1.0375	-1.7755	-1.6846	5.0964	-1.6980	-0.3189	-3.1588	-0.8653	-4.4076	-2.0147	3.6377	-4.3808	6.8911	10.3453	3.2563	-3.4153	-6.9860	2.3033	-3.3277	-6.3788	3.6997	-13.7545	-5.4996	3.0971	-6.4945	5.8534	3.6223	-0.3605	-4.3927	-6.7596	6.9103	-3.0766	-0.8853	6.7241	18.8590	-0.0555
0.9488	1.7702	-1.4955	0.3920	2.4328	-0.4260	1.6498	0.6625	0.9897	0.6138	-0.9017	-2.4182	-1.6479	3.1058	2.7509	-1.4199	-2.8410	4.5188	-2.3268	2.0709	-1.2437	0.4508	0.0958	-2.7076	-0.0359	2.0268	0.2384	2.2056	1.5804	-0.8910	4.2343	-2.1017	-2.4012	-6.5341	-0.0002	3.9881	-0.9741	2.4882	3.7195	5.0013	-0.4401	4.9575	0.8995	-7.3272	-1.7638	4.3859	7.5015	9.3002	-0.4437	-4.1633	-10.9434	1.0050	-9.7979	3.5708	0.1476	0.2170	-2.4107	2.7245	-22.2925	8.2682	2.9147	3.2308	-3.2805	0.1658	22.0192	2.4819	0.9897	-7.1835	8.9148	8.6510
0.9680	1.5027	-1.0265	0.8971	3.5390	-2.1201	-3.8349	2.6048	-1.6179	-5.7466	-0.4134	4.2928	-0.4811	-1.7717	-0.7462	-0.4968	4.7259	-6.7202	1.4158	-3.5045	2.4182	1.1565	-8.9992	0.4518	2.8587	-1.0063	0.9938	-0.0030	1.3555	3.5434	4.3123	3.4111	0.7156	-0.2786	-1.3253	4.2765	2.7668	0.6151	-10.2331	5.9937	0.8692	3.1428	-5.1068	-2.0450	3.6520	5.8884	3.7200	-4.0185	-3.8405	16.5550	-8.0182	5.8668	-5.3603	7.0419	0.1837	11.2675	2.4897	10.0532	-15.8071	-1.6552	-6.2572	-2.7951	-0.5007	6.2617	15.2912	-0.6712	-5.0637	5.7933	-5.9929	7.0113
