X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20
-0.2182	0.5612	3.3820	0.9127	3.7283	-2.5684	6.1717	3.9857	3.8152	-1.7244	-3.2144	-6.6145	-1.4381	4.2303	-4.9052	-0.3096	-5.5825	-4.0115	17.9969	-2.3106
-1.5068	-0.9429	-2.2849	1.5631	2.1325	-0.0899	4.3670	-3.8814	5.1926	-3.5920	2.7269	-7.8269	0.4311	3.3762	-4.7777	-1.2629	-0.1962	8.3111	-1.1513	-3.1339
1.7492	-0.6283	1.1294	0.8166	2.6551	0.6717	4.1457	0.7689	4.8352	-2.6094	-0.3381	-5.7001	2.4531	-1.1463	-2.4101	3.1109	-1.9347	-0.4214	11.6259	-2.5634
0.2640	0.3130	0.1008	-0.9967	-1.1780	-0.0475	-3.0600	-0.4629	-2.8134	0.9817	1.8595	3.7511	0.1044	-2.3324	0.7635	1.2062	0.1490	-0.1391	-4.2318	2.4754
-0.8220	-1.8050	0.9041	2.6773	2.6699	-0.4717	3.3866	1.2698	5.5806	-3.7291	0.1505	-9.2698	2.3635	-0.2145	-4.7352	-0.6850	-3.3217	-0.6095	17.5451	-4.7792
0.4235	0.6023	-0.1151	-2.0724	-0.6894	1.1449	0.2435	-1.5150	-0.5971	3.6629	-0.8885	2.0668	3.0591	-3.4280	2.4386	0.6086	-0.6020	1.1308	-5.5622	2.8379
0.2359	-2.3174	-0.0622	1.3037	2.5967	0.3853	3.5017	0.1818	2.1181	-1.1532	1.1808	-3.0051	0.5532	0.9998	-0.7965	-0.4207	-4.2131	0.1359	2.6134	-1.6454
2.3026	-0.5560	1.1808	0.7515	1.3145	1.6873	4.4756	0.7351	-0.0012	-0.2203	0.2148	1.4058	-0.0142	-1.2261	1.4740	3.5966	-2.0973	-4.1450	3.0478	-1.9087
-0.2387	-0.8959	3.3556	-0.3009	-0.9005	0.0120	-1.7513	8.0720	-0.1065	0.0954	-2.2988	-0.3087	-1.8088	1.6036	-0.3127	-0.3318	1.1790	-10.9831	19.9007	-0.2066
2.1713	-0.9384	0.4823	-0.5453	0.1433	-0.0195	0.8304	2.6306	-1.6972	-0.2903	-0.5981	1.7036	-1.6381	-1.1772	1.4267	3.2571	-0.4469	-4.3288	1.9566	0.5344
1.0629	-2.4040	0.5886	-0.6675	0.7303	0.2825	3.0138	2.7093	-1.5307	1.1466	-1.9885	2.7721	0.3261	-0.9486	3.0566	2.9508	-1.6574	-3.8608	-1.1476	2.3169
2.2974	-1.7861	-0.2874	-0.7036	1.8034	1.1709	4.1927	-6.3060	1.6602	-0.2040	-0.2719	-2.1046	-1.0759	-0.4993	0.5725	4.3139	-3.1697	11.6139	-16.3094	0.0002
-0.2088	0.6405	2.3110	-2.9281	-0.9581	-0.7502	-1.5868	3.7941	-1.0243	2.6231	-1.2840	1.3207	-1.2031	0.9726	0.2852	1.7806	0.4970	-4.2085	6.4365	3.8665
-0.0533	-0.7689	1.0850	-0.5242	1.5675	0.8311	3.6802	0.0455	1.2908	-1.9170	1.1869	-1.2382	-2.1097	2.5762	-0.8309	-2.4270	-1.0269	-0.3067	4.5185	-2.2701
1.3322	-1.2044	1.0761	-0.8109	0.0507	1.1201	-2.4032	2.1642	-4.7863	0.3050	-2.1836	6.0956	2.8803	-4.4437	3.3362	1.8915	-3.3619	-4.3985	-4.8592	0.3462
-0.8414	-0.3016	-0.0797	0.3779	-2.1082	0.6778	-0.5850	1.6003	-2.6583	0.2567	0.6372	5.6751	0.5758	-0.7562	2.9854	-2.1009	2.2750	-4.5206	1.1140	1.4920
-1.3580	-1.9403	-2.6866	-0.8671	-2.2547	0.7327	-4.2030	-9.5187	-1.1242	-0.9051	5.0284	1.1357	-0.8328	0.6390	1.5693	-1.2285	0.1353	11.7829	-22.1149	-0.6514
2.1782	2.2037	1.1078	-1.5286	-0.9242	-0.7677	-1.5551	2.1092	-1.3907	0.3226	-2.8160	-2.9306	0.5720	-1.6925	-2.1993	2.1316	0.9413	-1.5627	6.2632	1.0852
-4.0614	-0.2531	1.0977	-2.0960	-2.3791	0.0386	-0.6918	1.0570	-3.2513	2.4021	-0.3988	3.5111	-1.8743	3.5049	3.2814	-4.6336	3.8670	0.3267	-6.1110	1.6803
-0.7294	-0.7947	1.2820	-0.1924	0.8328	3.2112	-0.6261	1.3348	1.7947	-0.9109	-1.8111	-0.5253	-1.4317	2.5068	-0.2684	0.7391	-1.3063	-4.2144	9.1366	-0.9955
0.8654	0.7297	1.1993	0.3920	-1.0376	1.2076	0.5860	0.6860	-3.5542	-1.8379	-2.1751	5.7224	-0.5143	2.3083	4.6282	2.2956	-0.1075	0.3837	-10.7409	-2.8535
2.5208	-3.3880	0.6172	-0.7211	-2.2693	-0.0326	-2.3808	3.1023	0.9500	-0.2185	0.3850	-1.7905	-1.7222	1.4502	-1.5370	3.6064	1.7992	-1.3047	7.5516	0.7498
-0.3895	-0.5075	-2.5290	-0.8193	-3.5684	-1.6848	-5.2889	-5.1029	-3.8253	1.9539	2.7191	4.0949	-0.0378	-0.4286	1.9859	-0.6103	3.9316	8.0573	-21.2971	3.8742
-1.1892	-0.9124	-0.4303	0.9482	0.5509	-0.6678	1.8905	-1.0420	-1.3964	-0.3341	1.0514	-0.2171	0.3278	0.2006	-0.8645	-2.0337	-0.3199	0.9108	-4.4821	-0.9209
0.5300	0.2534	1.1923	-0.5712	-1.8146	0.2863	-3.3649	2.2742	-1.7670	-0.4781	-1.9151	4.9771	-0.1475	-1.1517	1.2386	0.4508	1.4452	-5.5714	2.3606	-1.2780
-1.1480	-0.4379	-0.5078	0.0793	-1.5584	1.7335	-2.4009	-2.6981	-3.2029	2.8197	1.2470	5.1192	-0.7019	0.4693	3.2090	-0.9365	-1.9851	3.4497	-18.3446	2.3534
-1.1446	0.0576	-3.2136	-1.1170	-0.4437	0.0969	0.6133	-4.9973	0.2343	1.1746	2.6450	-0.2030	-0.4688	0.9588	-0.3384	-3.1447	-0.8624	8.5157	-16.4812	0.6046
3.0183	0.8428	1.9066	1.4847	0.3729	0.6019	0.1887	3.7161	0.4676	-2.8695	-2.3637	-0.4622	1.9576	-0.0941	-1.8959	4.8514	-2.2266	-6.6255	10.0895	-2.0573
-0.4067	0.2059	0.2381	-0.6393	-2.0610	0.2273	-1.3205	3.2120	-2.9930	0.6165	-0.2113	4.3302	-0.2136	-2.0410	1.9130	1.0691	3.7512	-4.8610	-0.4325	-0.7218
